id,user_id,startup_id,notification_type,title,message,is_read,priority,created_at,updated_at
1,1,248,dpiit_approval,Dpiit Approval,DPIIT recognition approved for CartKing Labs,0,low,2024-11-28 23:48:05,2024-06-17 13:11:31
2,1,37,incubator_assignment,Incubator Assignment,Startup assigned to C-CAMP incubator,0,high,2024-11-30 20:38:10,2024-07-15 08:55:30
3,1,333,milestone_achieved,Milestone Achieved,LastMile Pro has crossed ₹311 Cr ARR milestone,0,low,2023-03-08 16:21:01,2024-08-18 20:31:12
4,1,318,funding_update,Funding Update,New funding round of ₹192 Cr announced,1,medium,2024-04-04 20:07:16,2024-04-19 20:59:51
5,1,290,milestone_achieved,Milestone Achieved,MLStudio Pro has crossed ₹380 Cr ARR milestone,0,high,2024-11-18 02:51:08,2024-01-30 09:24:19
6,1,151,monthly_report,Monthly Report,Monthly performance report for Aug 2024 is ready,0,low,2024-11-22 19:31:56,2024-06-04 13:25:39
7,1,156,incubator_assignment,Incubator Assignment,Startup assigned to SINE IIT Bombay incubator,0,medium,2024-12-05 14:20:10,2024-01-02 14:57:11
8,1,285,monthly_report,Monthly Report,Monthly performance report for Apr 2024 is ready,1,low,2023-09-02 08:12:14,2024-11-22 17:05:12
9,1,6,startup_verification,Startup Verification,Startup TaxiApp Solutions has been verified,0,medium,2023-05-31 12:21:01,2024-08-06 09:54:51
10,1,110,funding_update,Funding Update,New funding round of ₹457 Cr announced,0,high,2024-02-19 18:28:10,2024-03-21 11:43:29
11,1,126,startup_verification,Startup Verification,Startup SwiftLogix Tech has been verified,0,medium,2023-07-08 12:49:51,2024-06-05 04:31:11
12,1,33,policy_update,Policy Update,New policy update: Startup India 2024 guidelines released,0,medium,2024-04-17 15:05:25,2024-06-16 06:22:17
13,1,410,incubator_assignment,Incubator Assignment,Startup assigned to SINE IIT Bombay incubator,1,medium,2024-06-19 00:20:58,2024-09-05 02:56:32
14,1,476,dpiit_approval,Dpiit Approval,DPIIT recognition approved for PlatformX Ventures,0,medium,2023-02-05 19:30:25,2024-04-08 05:39:46
15,1,107,startup_verification,Startup Verification,Startup PharmaBio Hub has been verified,0,low,2023-10-22 04:47:14,2024-12-28 22:20:50
16,1,151,monthly_report,Monthly Report,Monthly performance report for Mar 2024 is ready,0,high,2024-12-06 12:15:08,2024-09-21 06:06:27
17,1,491,startup_verification,Startup Verification,Startup EcoBalance Tech has been verified,1,low,2024-04-29 00:51:32,2024-07-28 21:52:41
18,1,474,policy_update,Policy Update,New policy update: Startup India 2024 guidelines released,1,high,2023-08-13 13:03:32,2024-01-22 12:02:35
19,1,418,incubator_assignment,Incubator Assignment,Startup assigned to NSRCEL IIM Bangalore incubator,0,high,2024-11-24 04:51:31,2024-05-12 09:33:55
20,1,196,dpiit_approval,Dpiit Approval,DPIIT recognition approved for LastMile India,0,high,2023-11-09 16:54:45,2024-05-29 05:26:11
21,1,369,policy_update,Policy Update,New policy update: Startup India 2024 guidelines released,1,medium,2024-01-07 12:22:30,2024-08-07 03:01:35
22,1,267,startup_verification,Startup Verification,Startup FireWall Tech has been verified,0,high,2023-02-21 19:00:24,2024-11-05 11:20:16
23,1,337,policy_update,Policy Update,New policy update: Startup India 2024 guidelines released,0,low,2023-11-30 05:26:04,2024-06-11 18:35:47
24,1,196,startup_verification,Startup Verification,Startup LastMile India has been verified,0,high,2024-03-12 04:21:02,2024-08-07 12:35:02
25,1,324,incubator_assignment,Incubator Assignment,Startup assigned to 91Springboard incubator,0,medium,2023-05-08 23:57:24,2024-04-27 10:41:13
26,1,99,document_submitted,Document Submitted,Document submitted by AppSuite awaiting review,0,low,2024-09-14 01:01:00,2024-12-19 08:31:26
27,1,493,milestone_achieved,Milestone Achieved,WealthApp Labs has crossed ₹315 Cr ARR milestone,1,low,2024-03-19 16:01:34,2024-08-25 07:02:59
28,1,294,funding_update,Funding Update,New funding round of ₹322 Cr announced,0,medium,2023-07-13 03:16:21,2024-05-18 20:26:58
29,1,186,dpiit_approval,Dpiit Approval,DPIIT recognition approved for DocAI Pro,0,medium,2023-04-15 18:41:25,2024-09-11 10:31:31
30,1,42,milestone_achieved,Milestone Achieved,FoodHub Labs has crossed ₹224 Cr ARR milestone,0,medium,2023-06-16 20:53:07,2024-01-06 00:40:49
31,1,464,funding_update,Funding Update,New funding round of ₹220 Cr announced,1,high,2023-06-26 06:49:23,2024-09-26 13:13:25
32,1,376,incubator_assignment,Incubator Assignment,Startup assigned to BITS Pilani TBI incubator,1,low,2023-03-30 20:17:45,2024-09-23 19:03:19
33,1,291,monthly_report,Monthly Report,Monthly performance report for Mar 2024 is ready,0,medium,2023-10-11 11:29:03,2024-12-04 04:56:44
34,1,455,milestone_achieved,Milestone Achieved,GenomicsPlus Byte has crossed ₹495 Cr ARR milestone,0,high,2024-11-28 00:16:02,2024-07-09 08:06:09
35,1,114,document_submitted,Document Submitted,Document submitted by SoilSense Labs awaiting review,1,high,2024-01-07 12:44:12,2024-07-03 06:58:49
36,1,434,monthly_report,Monthly Report,Monthly performance report for Jul 2024 is ready,0,medium,2023-05-25 04:33:32,2024-03-18 21:39:24
37,1,238,funding_update,Funding Update,New funding round of ₹63 Cr announced,1,high,2024-01-27 13:38:47,2024-11-09 09:15:20
38,1,310,milestone_achieved,Milestone Achieved,VaultSec Byte has crossed ₹401 Cr ARR milestone,0,high,2023-11-02 14:59:20,2024-10-31 09:14:17
39,1,232,milestone_achieved,Milestone Achieved,UrbanRide has crossed ₹236 Cr ARR milestone,1,low,2024-04-12 02:42:23,2024-04-03 22:31:12
